Place,Latitude,Longitude
"Bannerghatta Road",12.9060737,77.6016519
"Bellary Road",13.0067744,77.5840386
"Domlur",12.9624669,77.6381958
"Electronic City",12.8487599,77.648253
"Hebbal",13.0382184,77.5919
"Hennur Road",13.0377061,77.6303636
"Indiranagar",12.9732913,77.6404672
"Jayanagar",12.9292731,77.5824229
"JP Nagar",12.9096941,77.5866067
"Kanakapura",12.9254777,77.5770344
"Koramangala",12.9357366,77.624081
"MG Road",12.9755264,77.6067902
"Rajajinagar",13.0005232,77.5496166
"Sarjapur Road",12.9239942,77.6530304
"Whitefield",12.9957428,77.7579489
"Yelahanka",13.1006982,77.5963454
